source_file,chunk_file,chunk_index,start_line,end_line,size_bytes,size_mb,oversize_line,output_path
GameAssembly_part3.lst,GameAssembly_part3.chunk000.lst,0,1,164622,10485790,10.0,False,e:\trae\ucf1.7-modifier\01-游戏逆向分析-相关信息\IDA-汇编代码\切分输出\part3\GameAssembly_part3.chunk000.lst
GameAssembly_part3.lst,GameAssembly_part3.chunk001.lst,1,164623,333910,10485828,10.0,False,e:\trae\ucf1.7-modifier\01-游戏逆向分析-相关信息\IDA-汇编代码\切分输出\part3\GameAssembly_part3.chunk001.lst
GameAssembly_part3.lst,GameAssembly_part3.chunk002.lst,2,333911,500594,10485805,10.0,False,e:\trae\ucf1.7-modifier\01-游戏逆向分析-相关信息\IDA-汇编代码\切分输出\part3\GameAssembly_part3.chunk002.lst
GameAssembly_part3.lst,GameAssembly_part3.chunk003.lst,3,500595,664381,10485798,10.0,False,e:\trae\ucf1.7-modifier\01-游戏逆向分析-相关信息\IDA-汇编代码\切分输出\part3\GameAssembly_part3.chunk003.lst
GameAssembly_part3.lst,GameAssembly_part3.chunk004.lst,4,664382,837591,10485845,10.0,False,e:\trae\ucf1.7-modifier\01-游戏逆向分析-相关信息\IDA-汇编代码\切分输出\part3\GameAssembly_part3.chunk004.lst
GameAssembly_part3.lst,GameAssembly_part3.chunk005.lst,5,837592,1009960,10485770,10.0,False,e:\trae\ucf1.7-modifier\01-游戏逆向分析-相关信息\IDA-汇编代码\切分输出\part3\GameAssembly_part3.chunk005.lst
GameAssembly_part3.lst,GameAssembly_part3.chunk006.lst,6,1009961,1183993,10485768,10.0,False,e:\trae\ucf1.7-modifier\01-游戏逆向分析-相关信息\IDA-汇编代码\切分输出\part3\GameAssembly_part3.chunk006.lst
GameAssembly_part3.lst,GameAssembly_part3.chunk007.lst,7,1183994,1371620,10485772,10.0,False,e:\trae\ucf1.7-modifier\01-游戏逆向分析-相关信息\IDA-汇编代码\切分输出\part3\GameAssembly_part3.chunk007.lst
GameAssembly_part3.lst,GameAssembly_part3.chunk008.lst,8,1371621,1602321,10485777,10.0,False,e:\trae\ucf1.7-modifier\01-游戏逆向分析-相关信息\IDA-汇编代码\切分输出\part3\GameAssembly_part3.chunk008.lst
GameAssembly_part3.lst,GameAssembly_part3.chunk009.lst,9,1602322,1602389,2748,0.0,False,e:\trae\ucf1.7-modifier\01-游戏逆向分析-相关信息\IDA-汇编代码\切分输出\part3\GameAssembly_part3.chunk009.lst
